region,country,lat,long,confirmed,deaths,recovered,label,value
N/A,Afghanistan,33.93911,67.709953,153148,7116,47723,sum_confirmed,217119214
N/A,Albania,41.1533,20.1683,145333,2495,47922,sum_deaths,4510202
N/A,Algeria,28.0339,1.6596,195574,5240,73530,sum_recovered,57351139
N/A,Andorra,42.5063,1.5218,15032,130,9206,,
N/A,Angola,-11.2027,17.8739,47331,1210,18180,,
N/A,Antigua and Barbuda,17.0608,-61.7964,1713,44,177,,
N/A,Argentina,-38.4161,-63.6167,5178889,111607,1729999,,
N/A,Armenia,40.0691,45.0382,241611,4830,157800,,
Australian Capital Territory,Australia,-35.4735,149.0124,398,3,115,,
New South Wales,Australia,-33.8688,151.2093,27026,150,0,,
Northern Territory,Australia,-12.4634,130.8456,202,0,96,,
Queensland,Australia,-27.4698,153.0251,1979,7,1295,,
South Australia,Australia,-34.9285,138.6007,871,4,592,,
Tasmania,Australia,-42.8821,147.3272,235,13,221,,
Victoria,Australia,-37.8136,144.9631,22071,820,19608,,
Western Australia,Australia,-31.9505,115.8605,1086,9,881,,
N/A,Austria,47.5162,14.5501,687076,10782,393747,,
N/A,Azerbaijan,40.1431,47.5769,421103,5592,223475,,
N/A,Bahamas,25.025885,-78.035889,18139,354,6771,,
N/A,Bahrain,26.0275,50.55,272453,1388,99000,,
N/A,Bangladesh,23.685,90.3563,1497261,26109,480216,,
N/A,Barbados,13.1939,-59.5432,4931,49,1169,,
N/A,Belarus,53.7098,27.9534,480364,3768,236516,,
N/A,Belgium,50.8333,4.469936,1182810,25374,0,,
N/A,Belize,17.1899,-88.4976,16220,359,11353,,
N/A,Benin,9.3077,2.3158,13366,128,3421,,
N/A,Bhutan,27.5142,90.4336,2595,3,821,,
N/A,Bolivia,-16.2902,-63.5887,490467,18429,160326,,
N/A,Bosnia and Herzegovina,43.9159,17.6791,213379,9792,95180,,
N/A,Botswana,-22.3285,24.6849,156927,2261,18468,,
N/A,Brazil,-14.235,-51.9253,20752281,579574,8202354,,
N/A,Brunei,4.5353,114.7277,2641,8,170,,
N/A,Bulgaria,42.7339,25.4858,453689,18840,188972,,
N/A,Burkina Faso,12.2383,-1.5616,13768,171,9397,,
N/A,Burma,21.9162,95.956,395883,15287,125324,,
N/A,Burundi,-3.3731,29.9189,11994,38,773,,
N/A,Cabo Verde,16.5388,-23.0418,35283,310,13251,,
N/A,Cambodia,11.55,104.9167,92616,1892,443,,
N/A,Cameroon,3.848,11.5021,83425,1350,28045,,
Alberta,Canada,53.9333,-116.5765,252010,2371,718049,,
British Columbia,Canada,53.7267,-127.6476,165413,1814,4885,,
Diamond Princess,Canada,0,0,0,1,2470,,
Grand Princess,Canada,0,0,13,0,686374,,
Manitoba,Canada,53.7609,-98.8139,58681,1189,987,,
New Brunswick,Canada,46.5653,-66.4619,2760,46,977,,
Newfoundland and Labrador,Canada,53.1355,-57.6604,1478,7,584,,
Northwest Territories,Canada,64.8255,-124.8457,452,1,525,,
Nova Scotia,Canada,44.682,-63.7443,6030,94,181,,
Nunavut,Canada,70.2998,-83.1076,657,4,2077,,
Ontario,Canada,51.2538,-85.3232,572856,9551,263,,
Prince Edward Island,Canada,46.5107,-63.4168,230,0,145,,
Quebec,Canada,52.9399,-73.5491,388799,11285,165,,
Repatriated Travellers,Canada,52.9399,-106.4509,54076,601,976,,
Saskatchewan,Canada,64.2823,-135,689,8,1051,,
Yukon,Central African Republic,6.6111,20.9394,11270,99,1280,,
N/A,Chad,15.4542,18.7322,4991,174,9474,,
N/A,Chile,-35.6751,-71.543,1638330,36923,63637,,
N/A,China,31.8257,117.2264,1008,6,1017,,
Anhui,China,40.1824,116.4142,1116,9,353,,
Beijing,China,30.0572,107.874,603,6,686,,
Chongqing,China,26.0789,117.9874,788,1,934,,
Fujian,China,35.7518,104.2861,199,2,204,,
Gansu,China,23.3417,113.4244,3059,8,385,,
Guangdong,China,23.8298,108.7881,289,2,46,,
Guangxi,China,26.8154,106.8748,147,2,75,,
Guizhou,China,19.1959,109.7453,190,6,18,,
Hainan,China,39.549,116.1306,1317,7,512,,
Hebei,China,47.862,127.7615,1615,13,857,,
Heilongjiang,China,37.8957,114.9042,1528,22,1568,,
Henan,China,22.3,114.2,12110,212,227,,
Hong Kong,China,30.9756,112.2707,68290,4512,857,,
Hubei,China,27.6104,111.7088,1181,4,319,,
Hunan,China,44.0935,113.9448,412,1,1,,
Inner Mongolia,China,32.9711,119.455,1589,0,977,,
Jiangsu,China,27.614,115.7221,937,1,228,,
Jiangxi,China,43.6661,126.1923,574,3,1305,,
Jilin,China,41.2956,122.6085,446,2,1954674,,
Liaoning,China,22.1667,113.55,63,0,1834,,
Macau,China,37.2692,106.1655,77,0,5846,,
Ningxia,China,35.7452,95.9956,18,0,15033,,
Qinghai,China,35.1917,108.8701,669,3,153063,,
Shaanxi,China,36.3427,118.1498,925,7,26495,,
Shandong,China,31.202,121.4491,2480,7,224915,,
Shanghai,China,37.5777,112.2922,259,0,21856,,
Shanxi,China,30.6171,102.7103,1190,3,2057,,
Sichuan,China,39.3054,117.323,473,3,875313,,
Tianjin,China,31.6927,88.0924,1,0,648,,
Tibet,China,41.1129,85.2401,980,3,30,,
Unknown,China,24.974,101.487,1089,2,187967,,
Xinjiang,China,29.1832,120.0934,1430,1,5845,,
Yunnan,Colombia,4.5709,-74.2973,4907264,124883,106,,
Zhejiang,Comoros,-11.6455,43.3333,4065,147,158775,,
N/A,Congo (Brazzaville),-0.228,15.8277,13588,183,209814,,
N/A,Congo (Kinshasa),-4.0383,21.7587,54863,1059,130107,,
N/A,Costa Rica,9.7489,-83.7534,461145,5492,49037,,
N/A,Cote d'Ivoire,7.54,-5.5471,55518,436,5300,,
N/A,Croatia,45.1,15.2,373330,8331,1594,,
N/A,Cuba,21.521757,-77.781167,646513,5219,33948,,
N/A,Cyprus,35.1264,33.4299,113588,501,10650,,
N/A,Czechia,49.8175,15.473,1678944,30402,122968,,
N/A,Denmark,61.8926,-6.9118,1000,2,53,,
N/A,Denmark,71.7069,-42.6043,333,0,31000,,
Faroe Islands,Denmark,56.2639,9.5018,344850,2580,9995,,
Greenland,Diamond Princess,0,0,712,13,4842,,
N/A,Djibouti,11.8251,42.5903,11747,157,2242,,
N/A,Dominica,15.415,-61.371,1638,4,98,,
N/A,Dominican Republic,18.7357,-70.1627,350017,4007,2964,,
N/A,Ecuador,-1.8312,-78.1834,501201,32244,47,,
N/A,Egypt,26.820553,30.802498,288162,16727,9528,,
N/A,El Salvador,13.7942,-88.8965,94060,2909,247,,
N/A,Equatorial Guinea,1.6508,10.2679,9326,124,16,,
N/A,Eritrea,15.1794,39.7823,6642,38,1050,,
N/A,Estonia,58.5953,25.0136,141599,1291,4,,
N/A,Eswatini,-26.5225,31.4659,43054,1094,200492,,
N/A,Ethiopia,9.145,40.4897,306810,4660,10419,,
N/A,Fiji,-17.7134,178.065,46211,489,3803,,
N/A,Finland,61.92411,25.748151,126565,1024,249709,,
N/A,France,3.9339,-53.1258,34375,215,1967132,,
N/A,France,-17.6797,149.4068,40178,423,61236,,
French Guiana,France,16.265,-61.551,45393,503,93764,,
French Polynesia,France,14.6415,-61.0242,35953,411,142,,
Guadeloupe,France,-12.8275,45.166244,19780,175,145165,,
Martinique,France,-20.904305,165.618042,136,0,14228,,
Mayotte,France,-21.1151,55.5364,48683,332,2427,,
New Caledonia,France,17.9,-62.8333,1520,2,6635,,
Reunion,France,46.8852,-56.3159,30,0,9098,,
Saint Barthelemy,France,18.0708,-63.0501,3273,42,15,,
Saint Pierre and Miquelon,France,-14.2938,-178.1165,445,7,60873,,
St Martin,France,46.2276,2.2137,6605068,112510,264260,,
Wallis and Futuna,Gabon,-0.8037,11.6094,25819,165,5939,,
N/A,Gambia,13.4432,-15.3101,9698,319,10448406,,
N/A,Georgia,42.3154,43.3569,545033,7329,883682,,
N/A,Germany,51.165691,10.451526,3947035,92208,1216305,,
N/A,Ghana,7.9465,-1.0232,118266,1017,593384,,
N/A,Greece,39.0742,21.8243,583658,13600,23364,,
N/A,Grenada,12.1165,-61.679,357,1,572978,,
N/A,Guatemala,15.7835,-90.2308,465799,11886,2024523,,
N/A,Guinea,9.9456,-9.6966,29400,335,12068,,
N/A,Guinea-Bissau,11.8037,-15.1804,5766,117,333969,,
N/A,Guyana,4.860416,-58.93018,25403,613,315464,,
N/A,Haiti,18.9712,-72.2852,20850,584,205991,,
N/A,Holy See,41.9029,12.4534,27,0,83936,,
N/A,Honduras,15.2,-86.2419,338757,8850,0,,
N/A,Hungary,47.1625,19.5033,812227,30057,68775,,
N/A,Iceland,64.9631,-19.0208,10705,33,52439,,
N/A,India,20.593684,78.96288,32768880,438560,158476,,
N/A,Indonesia,-0.7893,113.9213,4079267,132491,80987,,
N/A,Iran,32.427908,53.688046,4960744,107151,41,,
N/A,Iraq,33.223191,43.679291,1881213,20764,54925,,
N/A,Ireland,53.1424,-7.6921,351065,5092,180877,,
N/A,Israel,31.046051,34.851612,1061488,7043,2552,,
N/A,Italy,41.87194,12.56738,4534499,129146,1760,,
N/A,Jamaica,18.1096,-77.2975,67402,1510,99586,,
N/A,Japan,36.204824,138.252924,1473847,16016,2376,,
N/A,Jordan,31.24,36.51,796259,10398,163763,,
N/A,Kazakhstan,48.0196,66.9237,859203,12936,47974,,
N/A,Kenya,-0.0236,37.9062,235298,4720,18215,,
N/A,Kiribati,-3.3704,-168.734,2,0,8945,,
N/A,"Korea, South",35.907757,127.766922,251421,2285,170329,,
N/A,Kosovo,42.602636,20.902977,143603,2477,14190,,
N/A,Kuwait,29.31166,47.481766,409736,2418,5959,,
N/A,Kyrgyzstan,41.20438,74.766098,175589,2524,15101,,
N/A,Laos,19.85627,102.495496,14816,14,4,,
N/A,Latvia,56.8796,24.6032,142400,2573,15738,,
N/A,Lebanon,33.8547,35.8623,601226,8048,536,,
N/A,Lesotho,-29.61,28.2336,14395,403,1425748,,
N/A,Liberia,6.428055,-9.429499,5594,245,1,,
N/A,Libya,26.3351,17.228331,307471,4213,150502,,
N/A,Liechtenstein,47.14,9.55,3266,59,1283,,
N/A,Lithuania,55.1694,23.8813,298165,4547,1358,,
N/A,Luxembourg,49.8153,6.1296,75672,830,53991,,
N/A,MS Zaandam,0,0,9,2,450052,,
N/A,Madagascar,-18.766947,46.869107,42862,955,24593,,
N/A,Malawi,-13.2543,34.3015,60386,2168,32564,,
N/A,Malaysia,4.210484,101.975766,1725357,16382,266600,,
N/A,Maldives,3.2028,73.2207,80960,226,6593,,
N/A,Mali,17.570692,-3.996166,14873,539,180,,
N/A,Malta,35.9375,14.3754,36123,440,4502,,
N/A,Marshall Islands,7.1315,171.1845,4,0,1699,,
N/A,Mauritania,21.0079,-10.9408,33432,711,0,,
N/A,Mauritius,-20.348404,57.552152,10196,29,0,,
N/A,Mexico,23.6345,-102.5528,3341264,258491,2210,,
N/A,Micronesia,7.4256,150.5508,1,0,4225,,
N/A,Moldova,47.4116,28.3699,267204,6397,3800,,
N/A,Monaco,43.7333,7.4167,3188,33,106275,,
N/A,Mongolia,46.8625,103.8467,213820,937,82121,,
N/A,Montenegro,42.708678,19.37439,114787,1720,17998,,
N/A,Morocco,31.7917,-7.0926,856049,12540,126949,,
N/A,Mozambique,-18.665695,35.529562,146053,1853,502537,,
N/A,Namibia,-22.9576,18.4904,124900,3372,0,,
N/A,Nepal,28.1667,84.25,761124,10730,278442,,
N/A,Netherlands,12.5211,-69.9683,14508,139,828,,
N/A,Netherlands,12.1784,-68.2385,1791,17,109227,,
N/A,Netherlands,12.1696,-68.99,15263,143,1052050,,
N/A,Netherlands,18.0425,-63.0548,3679,51,487574,,
N/A,Netherlands,52.1326,5.2913,1938743,17998,1276636,,
N/A,New Zealand,-21.2367,-159.7777,1,0,534384,,
N/A,New Zealand,-40.9006,174.886,3519,26,145953,,
N/A,Nicaragua,12.865416,-85.207229,11167,199,675767,,
N/A,Niger,17.607789,8.081666,5843,198,3282631,,
N/A,Nigeria,9.082,8.6753,191805,2455,10272,,
N/A,North Macedonia,41.6086,21.7453,175624,5901,35,,
N/A,Norway,60.472,8.4689,158389,814,626,,
N/A,Oman,21.512583,55.923255,302239,4063,251,,
N/A,Pakistan,30.3753,69.3451,1160119,25788,2,,
N/A,Palau,7.515,134.5825,2,0,2723,,
N/A,Panama,8.538,-80.7821,457037,7054,1045,,
N/A,Papua New Guinea,-6.314993,143.95555,17838,192,359839,,
N/A,Paraguay,-23.4425,-58.4438,458455,15742,22145,,
N/A,Peru,-9.19,-75.0152,2149591,198263,0,,
N/A,Philippines,12.879721,121.774017,1976202,33330,1052,,
N/A,Poland,51.9194,19.1451,2888385,75340,2329,,
N/A,Portugal,39.3999,-8.2245,1036019,17730,59271,,
N/A,Qatar,25.3548,51.1839,232571,602,218923,,
N/A,Romania,45.9432,24.9668,1097452,34539,146003,,
N/A,Russia,61.52401,105.318756,6803323,179233,10,,
N/A,Rwanda,-1.9403,29.8739,87131,1083,3666,,
N/A,Saint Kitts and Nevis,17.357822,-62.782998,1053,3,1306022,,
N/A,Saint Lucia,13.9094,-60.9789,8155,103,3613,,
N/A,Saint Vincent and the Grenadines,12.9843,-61.2872,2336,12,150376,,
N/A,Samoa,-13.759,-172.1046,3,0,58075,,
N/A,San Marino,43.9424,12.4578,5321,90,21504,,
N/A,Sao Tome and Principe,0.1864,6.6131,2593,37,0,,
N/A,Saudi Arabia,23.885942,45.079162,543318,8512,7734,,
N/A,Senegal,14.4974,-14.4524,72753,1760,0,,
N/A,Serbia,44.0165,21.0059,759952,7278,317600,,
N/A,Seychelles,-4.6796,55.492,19976,104,7644,,
N/A,Sierra Leone,8.460555,-11.779889,6367,121,830,,
N/A,Singapore,1.2833,103.8333,67459,55,13218,,
N/A,Slovakia,48.669,19.699,394791,12548,183,,
N/A,Slovenia,46.1512,14.9955,266657,4449,13217,,
N/A,Solomon Islands,-9.6457,160.1562,20,0,55,,
N/A,Somalia,5.152149,46.199616,17399,969,4282,,
N/A,South Africa,-30.5595,22.9375,2770575,81830,7178,,
N/A,South Sudan,6.877,31.307,11427,120,162223,,
N/A,Spain,40.463667,-3.74922,4847298,84146,2370431,,
N/A,Sri Lanka,7.873054,80.771797,436081,8991,0,,
N/A,Sudan,12.8628,30.2176,37708,2831,14229,,
N/A,Summer Olympics 2020,35.6491,139.7737,777,0,1059457,,
N/A,Suriname,3.9193,-56.0278,28967,718,281410,,
N/A,Sweden,60.128161,18.643501,1123413,14685,15,,
N/A,Switzerland,46.8182,8.2275,776962,10978,653,,
N/A,Syria,34.802075,38.996815,27779,2007,95,,
N/A,Taiwan*,23.7,121,15991,834,357,,
N/A,Tajikistan,38.861,71.2761,16817,124,3286,,
N/A,Tanzania,-6.369028,34.888822,1367,50,34,,
N/A,Thailand,15.870032,100.992541,1190063,11399,3745,,
N/A,Timor-Leste,-8.874217,125.727539,16515,64,398,,
N/A,Togo,8.6195,0.8248,21261,185,12,,
N/A,Trinidad and Tobago,10.6918,-61.2225,44606,1285,4,,
N/A,Tunisia,33.886917,9.537499,662752,23430,1140,,
N/A,Turkey,38.9637,35.2433,6366408,56458,0,,
N/A,US,40,-100,39057368,638711,35535,,
N/A,Uganda,1.373333,32.290275,119825,3006,77221,,
N/A,Ukraine,48.3794,31.1656,2382769,56934,1,,
N/A,United Arab Emirates,23.424076,53.847818,717374,2039,119291,,
N/A,United Kingdom,18.2206,-63.0686,217,0,1460,,
N/A,United Kingdom,32.3078,-64.7505,2844,33,149621,,
Anguilla,United Kingdom,18.4207,-64.64,2568,37,1426,,
Bermuda,United Kingdom,19.3133,-81.2546,680,2,49394,,
British Virgin Islands,United Kingdom,49.3723,-2.3644,10486,95,26583,,
Cayman Islands,United Kingdom,-51.7963,-59.5236,66,0,0,,
Channel Islands,United Kingdom,36.1408,-5.3536,5342,97,0,,
Falkland Islands (Malvinas),United Kingdom,54.2361,-4.5481,6653,38,0,,
Gibraltar,United Kingdom,16.742498,-62.187366,29,1,0,,
Isle of Man,United Kingdom,-7.9467,-14.3559,4,0,0,,
Montserrat,United Kingdom,21.694,-71.7979,2650,20,0,,
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,55.3781,-3.436,6757650,132485,0,,
Turks and Caicos Islands,Uruguay,-32.5228,-55.7658,384778,6029,0,,
N/A,Uzbekistan,41.377491,64.585262,155639,1075,0,,
N/A,Vanuatu,-15.3767,166.9592,4,1,0,,
N/A,Venezuela,6.4238,-66.5897,334343,4010,0,,
N/A,Vietnam,14.058324,108.277199,449489,11064,0,,
N/A,West Bank and Gaza,31.9522,35.2332,339816,3675,0,,
N/A,Yemen,15.552727,48.516388,7829,1469,0,,
N/A,Zambia,-13.133897,27.849332,206145,3599,0,,
N/A,Zimbabwe,-19.015438,29.154857,124581,4416,0,,
